date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:54:55	507/507	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:a9525ac24ffa2e05807e490dc1916cfe%22	https://bigon-6.myshopify.com/robots.txt		(from )
13:54:57	232008/232008	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:e852f3e5aeeebd1afaef988fdb0f4d61%22	https://bigon-6.myshopify.com/	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/index.html	(from )
13:54:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2008%20Jul%202023%2007:54:55%20GMT	http://bigon-6.myshopify.com/cdn/shop/t/6/assets/plugins.js?v=139296894682182894691645332529	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/cdn/shop/t/6/assets/plugins.07d16.delayed	(from https://bigon-6.myshopify.com/)
13:54:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2008%20Jul%202023%2007:54:56%20GMT	http://bigon-6.myshopify.com/cdn/shop/t/6/assets/theme.plugins.js?v=177399257430505027491645332556	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/cdn/shop/t/6/assets/theme.plugins056d.js	(from https://bigon-6.myshopify.com/)
13:54:58	85715/85715	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2006%20Jul%202023%2020:51:21%20GMT	https://bigon-6.myshopify.com/cdn/shop/t/6/assets/plugins.js?v=139296894682182894691645332529	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/cdn/shop/t/6/assets/plugins7d16.js	(from https://bigon-6.myshopify.com/)
13:54:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2008%20Jul%202023%2007:54:56%20GMT	http://bigon-6.myshopify.com/cdn/shop/t/6/assets/bootstrap.min.js?v=94033863239863277801645332550	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/cdn/shop/t/6/assets/bootstrap.min3b0d.js	(from https://bigon-6.myshopify.com/)
13:54:59	63444/63444	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2008%20Jul%202023%2004:40:44%20GMT	https://bigon-6.myshopify.com/cdn/shop/t/6/assets/theme.plugins.js?v=177399257430505027491645332556	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/cdn/shop/t/6/assets/theme.plugins056d.js	(from https://bigon-6.myshopify.com/)
13:54:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2008%20Jul%202023%2007:54:57%20GMT	http://bigon-6.myshopify.com/cdn/shop/t/6/assets/owl.carousel.min.js?v=39625633880638491061645332548	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/cdn/shop/t/6/assets/owl.carousel.min753d.js	(from https://bigon-6.myshopify.com/)
13:54:59	51040/51040	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2006%20Jul%202023%2020:51:21%20GMT	https://bigon-6.myshopify.com/cdn/shop/t/6/assets/bootstrap.min.js?v=94033863239863277801645332550	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/cdn/shop/t/6/assets/bootstrap.min3b0d.js	(from https://bigon-6.myshopify.com/)
13:55:00	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2008%20Jul%202023%2007:54:58%20GMT	http://bigon-6.myshopify.com/cdn/shop/t/6/assets/lazysizes.min.js?v=89644803952926230611645332510	C:/My%20Web%20Sites/smart-electronics/bigon-6.myshopify.com/cdn/shop/t/6/assets/lazysizes.min41a3.js	(from https://bigon-6.myshopify.com/)
